0 Plate  2 x  2 with Towball Socket
2 24 -10.25 0 -36.5 -6.93 0 -37.5
2 24 -6.93 0 -37.5 -6.93 0 -34.5
2 24 -6.93 0 -34.5 -7.75 2 -33.5
2 24 -7.75 2 -33.5 -7.75 2 -28
2 24 -7.75 2 -28 -11.83 2 -28
2 24 -7.75 2 -33.5 -11.83 2 -33.5
2 24 -6.93 0 -34.5 -11.31 0 -34.5
4 16 -7.75 6 -28 -7.75 6 -33.5 -11.83 6 -33.5 -11.83 6 -28
4 16 -7.75 6 -33.5 -6.93 8 -34.5 -11.31 8 -34.5 -11.83 6 -33.5
4 16 -6.93 8 -34.5 -6.93 8 -37.5 -10.25 8 -36.5 -11.31 8 -34.5
4 16 -11.83 6 -28 -11.83 2 -28 -7.75 2 -28 -7.75 6 -28
4 16 -11.83 2 -28 -11.83 2 -33.5 -7.75 2 -33.5 -7.75 2 -28
4 16 -11.83 2 -33.5 -11.31 0 -34.5 -6.93 0 -34.5 -7.75 2 -33.5
4 16 -11.31 0 -34.5 -10.25 0 -36.5 -6.93 0 -37.5 -6.93 0 -34.5
0
2 24 11.83 6 -28 11.83 6 -33.5
2 24 11.83 6 -33.5 11.31 8 -34.5
2 24 11.31 8 -34.5 10.25 8 -36.5
2 24 10.25 8 -36.5 6.93 8 -37.5
2 24 6.93 8 -37.5 6.93 8 -34.5
2 24 6.93 8 -34.5 7.75 6 -33.5
2 24 7.75 6 -33.5 7.75 6 -28
2 24 7.75 6 -28 11.83 6 -28
2 24 7.75 6 -33.5 11.83 6 -33.5
2 24 6.93 8 -34.5 11.31 8 -34.5
2 24 11.83 6 -28 11.83 2 -28
2 24 7.75 6 -28 7.75 2 -28
2 24 11.83 2 -28 11.83 2 -33.5
2 24 11.83 2 -33.5 11.31 0 -34.5
2 24 11.31 0 -34.5 10.25 0 -36.5
2 24 10.25 0 -36.5 6.93 0 -37.5
2 24 6.93 0 -37.5 6.93 0 -34.5
2 24 6.93 0 -34.5 7.75 2 -33.5
2 24 7.75 2 -33.5 7.75 2 -28
2 24 7.75 2 -28 11.83 2 -28
2 24 7.75 2 -33.5 11.83 2 -33.5
2 24 6.93 0 -34.5 11.31 0 -34.5
4 16 11.83 6 -28 11.83 6 -33.5 7.75 6 -33.5 7.75 6 -28
4 16 11.83 6 -33.5 11.31 8 -34.5 6.93 8 -34.5 7.75 6 -33.5
4 16 11.31 8 -34.5 10.25 8 -36.5 6.93 8 -37.5 6.93 8 -34.5
4 16 7.75 6 -28 7.75 2 -28 11.83 2 -28 11.83 6 -28
4 16 7.75 2 -28 7.75 2 -33.5 11.83 2 -33.5 11.83 2 -28
4 16 7.75 2 -33.5 6.93 0 -34.5 11.31 0 -34.5 11.83 2 -33.5
4 16 6.93 0 -34.5 6.93 0 -37.5 10.25 0 -36.5 11.31 0 -34.5
0
2 24 -2 -3.75 -37.5 -3.06 -3.39 -37.5
2 24 -3.06 -3.39 -37.5 -5.66 -1.66 -37.5
2 24 -5.66 -1.66 -37.5 -6.93 0 -37.5
2 24 -6.93 8 -37.5 -5.66 9.66 -37.5
2 24 -5.66 9.66 -37.5 -3.06 11.39 -37.5
2 24 -3.06 11.39 -37.5 -2 11.75 -37.5
2 24 2 -3.75 -37.5 3.06 -3.39 -37.5
2 24 3.06 -3.39 -37.5 5.66 -1.66 -37.5
2 24 5.66 -1.66 -37.5 6.93 0 -37.5
2 24 6.93 8 -37.5 5.66 9.66 -37.5
2 24 5.66 9.66 -37.5 3.06 11.39 -37.5
2 24 3.06 11.39 -37.5 2 11.75 -37.5
0
2 24 -2 -3.75 -24 -3.06 -3.39 -24
2 24 -3.06 -3.39 -24 -5.66 -1.66 -24
2 24 -5.66 -1.66 -24 -6.93 0 -24
2 24 -6.93 0 -24 -7.75 2 -24
2 24 -7.75 2 -24 -7.75 6 -24
2 24 -7.75 6 -24 -6.93 8 -24
2 24 -6.93 8 -24 -5.66 9.66 -24
2 24 -5.66 9.66 -24 -3.06 11.39 -24
2 24 -3.06 11.39 -24 -2 11.75 -24
2 24 2 -3.75 -24 -2 -3.75 -24
2 24 2 11.75 -24 -2 11.75 -24
2 24 2 -3.75 -24 3.06 -3.39 -24
2 24 3.06 -3.39 -24 5.66 -1.66 -24
2 24 5.66 -1.66 -24 6.93 0 -24
2 24 6.93 0 -24 7.75 2 -24
2 24 7.75 2 -24 7.75 6 -24
2 24 7.75 6 -24 6.93 8 -24
2 24 6.93 8 -24 5.66 9.66 -24
2 24 5.66 9.66 -24 3.06 11.39 -24
2 24 3.06 11.39 -24 2 11.75 -24
0
4 16 -2 -3.75 -37.5 -2 -3.75 -24 -3.06 -3.39 -24 -3.06 -3.39 -37.5
4 16 -3.06 -3.39 -37.5 -3.06 -3.39 -24 -5.66 -1.66 -24 -5.66 -1.66 -37.5
4 16 -5.66 -1.66 -37.5 -5.66 -1.66 -24 -6.93 0 -24 -6.93 0 -37.5
4 16 -6.93 0 -34.5 -6.93 0 -24 -7.75 2 -24 -7.75 2 -33.5
4 16 -7.75 2 -28 -7.75 2 -24 -7.75 6 -24 -7.75 6 -28
4 16 -7.75 6 -33.5 -7.75 6 -24 -6.93 8 -24 -6.93 8 -34.5
4 16 -6.93 8 -37.5 -6.93 8 -24 -5.66 9.66 -24 -5.66 9.66 -37.5
4 16 -5.66 9.66 -37.5 -5.66 9.66 -24 -3.06 11.39 -24 -3.06 11.39 -37.5
4 16 -3.06 11.39 -37.5 -3.06 11.39 -24 -2 11.75 -24 -2 11.75 -37.5
4 16 -2 11.75 -26 -2 11.75 -24 2 11.75 -24 2 11.75 -26
4 16 2 11.75 -37.5 2 11.75 -24 3.06 11.39 -24 3.06 11.39 -37.5
4 16 3.06 11.39 -37.5 3.06 11.39 -24 5.66 9.66 -24 5.66 9.66 -37.5
4 16 5.66 9.66 -37.5 5.66 9.66 -24 6.93 8 -24 6.93 8 -37.5
4 16 6.93 8 -34.5 6.93 8 -24 7.75 6 -24 7.75 6 -33.5
4 16 7.75 6 -28 7.75 6 -24 7.75 2 -24 7.75 2 -28
4 16 7.75 2 -33.5 7.75 2 -24 6.93 0 -24 6.93 0 -34.5
4 16 6.93 0 -37.5 6.93 0 -24 5.66 -1.66 -24 5.66 -1.66 -37.5
4 16 5.66 -1.66 -37.5 5.66 -1.66 -24 3.06 -3.39 -24 3.06 -3.39 -37.5
4 16 3.06 -3.39 -37.5 3.06 -3.39 -24 2 -3.75 -24 2 -3.75 -37.5
4 16 2 -3.75 -26 2 -3.75 -24 -2 -3.75 -24 -2 -3.75 -26
5 24 -3.06 -3.39 -24 -3.06 -3.39 -37.5 -2 -3.75 -37.5 -5.66 -1.66 -24
5 24 -5.66 -1.66 -24 -5.66 -1.66 -37.5 -3.06 -3.39 -37.5 -6.93 0 -24
5 24 -5.66 9.66 -24 -5.66 9.66 -37.5 -6.93 8 -37.5 -3.06 11.39 -24
5 24 -3.06 11.39 -24 -3.06 11.39 -37.5 -5.66 9.66 -37.5 -2 11.75 -24
5 24 3.06 11.39 -24 3.06 11.39 -37.5 2 11.75 -37.5 5.66 9.66 -24
5 24 5.66 9.66 -24 5.66 9.66 -37.5 3.06 11.39 -37.5 6.93 8 -24
5 24 5.66 -1.66 -24 5.66 -1.66 -37.5 6.93 0 -37.5 3.06 -3.39 -24
5 24 3.06 -3.39 -24 3.06 -3.39 -37.5 5.66 -1.66 -37.5 2 -3.75 -24
5 24 -2 -3.75 -24 -2 -3.75 -26 2 -3.75 -26 -3.06 -3.39 -24
5 24 -6.93 0 -34.5 -6.93 0 -24 -7.75 2 -24 -5.66 -1.66 -37.5
5 24 -7.75 2 -28 -7.75 2 -24 -7.75 6 -24 -6.93 0 -34.5
5 24 -7.75 6 -24 -7.75 6 -28 -7.75 2 -28 -6.93 8 -24
5 24 -6.93 8 -24 -6.93 8 -34.5 -7.75 6 -33.5 -5.66 9.66 -24
5 24 -2 11.75 -26 -2 11.75 -24 2 11.75 -24 -3.06 11.39 -37.5
5 24 2 11.75 -24 2 11.75 -26 -2 11.75 -26 3.06 11.39 -24
5 24 6.93 8 -34.5 6.93 8 -24 7.75 6 -24 5.66 9.66 -37.5
5 24 7.75 6 -28 7.75 6 -24 7.75 2 -24 6.93 8 -34.5
5 24 7.75 2 -24 7.75 2 -28 7.75 6 -28 6.93 0 -24
5 24 6.93 0 -24 6.93 0 -34.5 7.75 2 -33.5 5.66 -1.66 -24
5 24 2 -3.75 -26 2 -3.75 -24 -2 -3.75 -24 3.06 -3.39 -37.5
0
4 16 2 -3.75 -24 3.06 -3.39 -24 -3.06 -3.39 -24 -2 -3.75 -24
4 16 3.06 -3.39 -24 5.66 -1.66 -24 -5.66 -1.66 -24 -3.06 -3.39 -24
4 16 5.66 -1.66 -24 6.93 0 -24 -6.93 0 -24 -5.66 -1.66 -24
4 16 6.93 0 -24 7.75 2 -24 -7.75 2 -24 -6.93 0 -24
4 16 7.75 2 -24 7.75 6 -24 -7.75 6 -24 -7.75 2 -24
4 16 7.75 6 -24 6.93 8 -24 -6.93 8 -24 -7.75 6 -24
4 16 6.93 8 -24 5.66 9.66 -24 -5.66 9.66 -24 -6.93 8 -24
4 16 5.66 9.66 -24 3.06 11.39 -24 -3.06 11.39 -24 -5.66 9.66 -24
4 16 3.06 11.39 -24 2 11.75 -24 -2 11.75 -24 -3.05 11.39 -24
0
2 24 -4.21 -6.16 -36.5 -2 -6.82 -36.5
2 24 -7.78 -3.78 -36.5 -4.21 -6.16 -36.5
2 24 -10.25 0 -36.5 -7.78 -3.78 -36.5
2 24 2 -6.82 -36.5 4.21 -6.16 -36.5
2 24 4.21 -6.16 -36.5 7.78 -3.78 -36.5
2 24 7.78 -3.78 -36.5 10.25 0 -36.5
2 24 10.25 8 -36.5 7.78 11.78 -36.5
2 24 7.78 11.78 -36.5 4.21 14.16 -36.5
2 24 4.21 14.16 -36.5 2 14.82 -36.5
2 24 -7.78 11.78 -36.5 -10.25 8 -36.5
2 24 -4.21 14.16 -36.5 -7.78 11.78 -36.5
2 24 -2 14.82 -36.5 -4.21 14.16 -36.5
0
4 16 -3.06 -3.39 -37.5 -4.21 -6.16 -36.5 -2 -6.82 -36.5 -2 -3.75 -37.5
4 16 -5.66 -1.66 -37.5 -7.78 -3.78 -36.5 -4.21 -6.16 -36.5 -3.06 -3.39 -37.5
4 16 -6.93 0 -37.5 -10.25 0 -36.5 -7.78 -3.78 -36.5 -5.66 -1.66 -37.5
4 16 -5.66 9.66 -37.5 -7.78 11.78 -36.5 -10.25 8 -36.5 -6.93 8 -37.5
4 16 -3.06 11.39 -37.5 -4.21 14.16 -36.5 -7.78 11.78 -36.5 -5.66 9.66 -37.5
4 16 -2 11.75 -37.5 -2 14.82 -36.5 -4.21 14.16 -36.5 -3.06 11.39 -37.5
4 16 2 -3.75 -37.5 2 -6.82 -36.5 4.21 -6.16 -36.5 3.06 -3.39 -37.5
4 16 3.06 -3.39 -37.5 4.21 -6.16 -36.5 7.78 -3.78 -36.5 5.66 -1.66 -37.5
4 16 5.66 -1.66 -37.5 7.78 -3.78 -36.5 10.25 0 -36.5 6.93 0 -37.5
4 16 6.93 8 -37.5 10.25 8 -36.5 7.78 11.78 -36.5 5.66 9.66 -37.5
4 16 5.66 9.66 -37.5 7.78 11.78 -36.5 4.21 14.16 -36.5 3.06 11.39 -37.5
4 16 3.06 11.39 -37.5 4.21 14.16 -36.5 2 14.82 -36.5 2 11.75 -37.5
5 24 -3.06 -3.39 -37.5 -4.21 -6.16 -36.5 -2 -6.82 -36.5 -5.66 -1.66 -37.5
5 24 -5.66 -1.66 -37.5 -7.78 -3.78 -36.5 -4.21 -6.16 -36.5 -6.93 0 -37.5
5 24 -5.66 9.66 -37.5 -7.78 11.78 -36.5 -10.25 8 -36.5 -3.06 11.39 -37.5
5 24 -3.06 11.39 -37.5 -4.21 14.16 -36.5 -7.78 11.78 -36.5 -2 11.75 -37.5
5 24 4.21 -6.16 -36.5 3.06 -3.39 -37.5 2 -3.75 -37.5 7.78 -3.78 -36.5
5 24 7.78 -3.78 -36.5 5.66 -1.66 -37.5 3.06 -3.39 -37.5 10.25 0 -36.5
5 24 7.78 11.78 -36.5 5.66 9.66 -37.5 6.93 8 -37.5 4.21 14.16 -36.5
5 24 4.21 14.16 -36.5 3.06 11.39 -37.5 5.66 9.66 -37.5 2 14.82 -36.5
0
2 24 -2 14.82 -36.5 -5.19 14.82 -33.5
2 24 -5.19 14.82 -33.5 -5.19 14.82 -24
2 24 -5.19 14.82 -24 -2 14.82 -21
2 24 -2 14.82 -21 2 14.82 -21
2 24 2 14.82 -21 5.19 14.82 -24
2 24 5.19 14.82 -24 5.19 14.82 -33.5
2 24 5.19 14.82 -33.5 2 14.82 -36.5
3 16 -2 14.82 -36.5 -2 14.82 -33.5 -5.19 14.82 -33.5
3 16 5.19 14.82 -33.5 2 14.82 -33.5 2 14.82 -36.5
4 16 -2 14.82 -33.5 -2 14.82 -24 -5.19 14.82 -24 -5.19 14.82 -33.5
4 16 2 14.82 -26 2 14.82 -24 -2 14.82 -24 -2 14.82 -26
4 16 5.19 14.82 -33.5 5.19 14.82 -24 2 14.82 -24 2 14.82 -33.5
3 16 -2 14.82 -24 -2 14.82 -21 -5.19 14.82 -24
4 16 2 14.82 -24 2 14.82 -21 -2 14.82 -21 -2 14.82 -24
3 16 5.19 14.82 -24 2 14.82 -21 2 14.82 -24
0
4 16 -4.21 -6.16 -36.5 -4.59 -7.09 -33.5 -2 -7.83 -33.5 -2 -6.82 -36.5
4 16 -7.78 -3.78 -36.5 -8.49 -4.49 -33.5 -4.59 -7.09 -33.5 -4.21 -6.16 -36.5
3 16 -10.25 0 -36.5 -11.31 0 -34.5 -8.49 -4.49 -33.5
3 16 -10.25 0 -36.5 -8.49 -4.49 -33.5 -7.78 -3.78 -36.5
3 16 -11.31 0 -34.5 -11.31 0 -33.5 -8.49 -4.49 -33.5
3 16 -11.83 2 -33.5 -11.31 0 -33.5 -11.31 0 -34.5
3 16 -11.31 8 -34.5 -11.31 8 -33.5 -11.83 6 -33.5
3 16 -11.31 8 -34.5 -8.49 12.49 -33.5 -11.31 8 -33.5
3 16 -7.78 11.78 -36.5 -8.49 12.49 -33.5 -10.25 8 -36.5
3 16 -8.49 12.49 -33.5 -11.31 8 -34.5 -10.25 8 -36.5
4 16 -4.21 14.16 -36.5 -5.19 14.82 -33.5 -8.49 12.49 -33.5 -7.78 11.78 -36.5
3 16 -2 14.82 -36.5 -5.19 14.82 -33.5 -4.21 14.16 -36.5
0
4 16 2 -6.82 -36.5 2 -7.83 -33.5 4.59 -7.09 -33.5 4.21 -6.16 -36.5
4 16 4.21 -6.16 -36.5 4.59 -7.09 -33.5 8.49 -4.49 -33.5 7.78 -3.78 -36.5
3 16 7.78 -3.78 -36.5 8.49 -4.49 -33.5 10.25 0 -36.5
3 16 8.49 -4.49 -33.5 11.31 0 -34.5 10.25 0 -36.5
3 16 11.31 0 -34.5 11.31 0 -33.5 11.83 2 -33.5
3 16 8.49 -4.49 -33.5 11.31 0 -33.5 11.31 0 -34.5
3 16 11.83 6 -33.5 11.31 8 -33.5 11.31 8 -34.5
3 16 11.31 8 -34.5 11.31 8 -33.5 8.49 12.49 -33.5
3 16 10.25 8 -36.5 11.31 8 -34.5 8.49 12.49 -33.5
3 16 10.25 8 -36.5 8.49 12.49 -33.5 7.78 11.78 -36.5
4 16 7.78 11.78 -36.5 8.49 12.49 -33.5 5.19 14.82 -33.5 4.21 14.16 -36.5
3 16 4.21 14.16 -36.5 5.19 14.82 -33.5 2 14.82 -36.5
0
4 16 -2 -7.83 -26 -2 -7.83 -24 2 -7.83 -24 2 -7.83 -26
4 16 -4.59 -7.09 -33.5 -4.59 -7.09 -24 -2 -7.83 -24 -2 -7.83 -33.5
4 16 -8.49 -4.49 -33.5 -8.49 -4.49 -24 -4.59 -7.09 -24 -4.59 -7.09 -33.5
4 16 -11.31 0 -33.5 -11.31 0 -24 -8.49 -4.49 -24 -8.49 -4.49 -33.5
4 16 -11.83 2 -33.5 -11.83 2 -24 -11.31 0 -24 -11.31 0 -33.5
4 16 -11.83 6 -28 -11.83 6 -24 -11.83 2 -24 -11.83 2 -28
4 16 -11.31 8 -33.5 -11.31 8 -24 -11.83 6 -24 -11.83 6 -33.5
4 16 -8.49 12.49 -33.5 -8.49 12.49 -24 -11.31 8 -24 -11.31 8 -33.5
4 16 -5.19 14.82 -33.5 -5.19 14.82 -24 -8.49 12.49 -24 -8.49 12.49 -33.5
0
4 16 2 -7.83 -33.5 2 -7.83 -24 4.59 -7.09 -24 4.59 -7.09 -33.5
4 16 4.59 -7.09 -33.5 4.59 -7.09 -24 8.49 -4.49 -24 8.49 -4.49 -33.5
4 16 8.49 -4.49 -33.5 8.49 -4.49 -24 11.31 0 -24 11.31 0 -33.5
4 16 11.31 0 -33.5 11.31 0 -24 11.83 2 -24 11.83 2 -33.5
4 16 11.83 2 -28 11.83 2 -24 11.83 6 -24 11.83 6 -28
4 16 11.83 6 -33.5 11.83 6 -24 11.31 8 -24 11.31 8 -33.5
4 16 11.31 8 -33.5 11.31 8 -24 8.49 12.49 -24 8.49 12.49 -33.5
4 16 8.49 12.49 -33.5 8.49 12.49 -24 5.19 14.82 -24 5.19 14.82 -33.5
0
4 16 -2 -7.83 -24 -2 -6.82 -21 2 -6.82 -21 2 -7.83 -24
4 16 -4.59 -7.09 -24 -4.21 -6.16 -21 -2 -6.82 -21 -2 -7.83 -24
4 16 -8.49 -4.49 -24 -7.78 -3.78 -21 -4.21 -6.16 -21 -4.59 -7.09 -24
4 16 -11.31 0 -24 -10.25 0 -21 -7.78 -3.78 -21 -8.49 -4.49 -24
4 16 -8.49 12.49 -24 -7.78 11.78 -21 -10.25 8 -21 -11.31 8 -24
4 16 -5.19 14.82 -24 -4.21 14.16 -21 -7.78 11.78 -21 -8.49 12.49 -24
3 16 -2 14.82 -21 -4.21 14.16 -21 -5.19 14.82 -24
4 16 2 -7.83 -24 2 -6.82 -21 4.21 -6.16 -21 4.59 -7.09 -24
4 16 4.59 -7.09 -24 4.21 -6.16 -21 7.78 -3.78 -21 8.49 -4.49 -24
4 16 8.49 -4.49 -24 7.78 -3.78 -21 10.25 0 -21 11.31 0 -24
4 16 11.31 8 -24 10.25 8 -21 7.78 11.78 -21 8.49 12.49 -24
4 16 8.49 12.49 -24 7.78 11.78 -21 4.21 14.16 -21 5.19 14.82 -24
3 16 5.19 14.82 -24 4.21 14.16 -21 2 14.82 -21
0 
5 24 -4.21 -6.16 -36.5 -4.59 -7.09 -33.5 -2 -7.83 -33.5 -7.78 -3.78 -36.5
5 24 -4.59 -7.09 -33.5 -2 -7.83 -33.5 -2 -6.82 -36.5 -4.59 -7.09 -24
5 24 -7.78 -3.78 -36.5 -8.49 -4.49 -33.5 -4.59 -7.09 -33.5 -10.25 0 -36.5
5 24 -8.49 -4.49 -33.5 -4.59 -7.09 -33.5 -4.21 -6.16 -36.5 -8.49 -4.49 -24
5 24 -11.31 0 -34.5 -8.49 -4.49 -33.5 -10.25 0 -36.5 -11.31 0 -33.5
5 24 -8.49 -4.49 -33.5 -10.25 0 -36.5 -11.31 0 -34.5 -7.78 -3.78 -36.5
5 24 -11.31 0 -34.5 -11.31 0 -33.5 -8.49 -4.49 -33.5 -11.83 2 -33.5
5 24 -11.31 8 -34.5 -11.31 8 -33.5 -11.83 6 -33.5 -8.49 12.49 -33.5
5 24 -11.31 8 -34.5 -8.49 12.49 -33.5 -11.31 8 -33.5 -10.25 8 -36.5
5 24 -7.78 11.78 -36.5 -8.49 12.49 -33.5 -10.25 8 -36.5 -4.21 14.16 -36.5
5 24 -8.49 12.49 -33.5 -10.25 8 -36.5 -7.78 11.78 -36.5 -11.31 8 -34.5
5 24 -4.21 14.16 -36.5 -5.19 14.82 -33.5 -8.49 12.49 -33.5 -2 14.82 -36.5
5 24 -5.19 14.82 -33.5 -8.49 12.49 -33.5 -7.78 11.78 -36.5 -5.19 14.82 -24
5 24 4.59 -7.09 -33.5 8.49 -4.49 -33.5 7.78 -3.78 -36.5 4.59 -7.09 -24
5 24 8.49 -4.49 -33.5 7.78 -3.78 -36.5 4.21 -6.16 -36.5 10.25 0 -36.5
5 24 8.49 -4.49 -33.5 10.25 0 -36.5 7.78 -3.78 -36.5 11.31 0 -34.5
5 24 8.49 -4.49 -33.5 11.31 0 -34.5 10.25 0 -36.5 11.31 0 -33.5
5 24 11.31 0 -34.5 11.31 0 -33.5 11.83 2 -33.5 8.49 -4.49 -33.5
5 24 11.31 8 -33.5 11.31 8 -34.5 11.83 6 -33.5 8.49 12.49 -33.5
5 24 8.49 12.49 -33.5 11.31 8 -34.5 11.31 8 -33.5 10.25 8 -36.5
5 24 8.49 12.49 -33.5 10.25 8 -36.5 11.31 8 -34.5 7.78 11.78 -36.5
5 24 8.49 12.49 -33.5 7.78 11.78 -36.5 10.25 8 -36.5 5.19 14.82 -33.5
5 24 8.49 12.49 -33.5 5.19 14.82 -33.5 4.21 14.16 -36.5 8.49 12.49 -24
5 24 5.19 14.82 -33.5 4.21 14.16 -36.5 7.78 11.78 -36.5 2 14.82 -36.5
5 24 -4.59 -7.09 -33.5 -4.59 -7.09 -24 -2 -7.83 -24 -8.49 -4.49 -33.5
5 24 -4.59 -7.09 -24 -2 -7.83 -24 -2 -7.83 -33.5 -4.21 -6.16 -21
5 24 -8.49 -4.49 -33.5 -8.49 -4.49 -24 -4.59 -7.09 -24 -11.31 0 -33.5
5 24 -8.49 -4.49 -24 -4.59 -7.09 -24 -4.59 -7.09 -33.5 -7.78 -3.78 -21
5 24 -11.31 0 -33.5 -11.31 0 -24 -8.49 -4.49 -24 -11.83 2 -33.5
5 24 -11.31 0 -24 -8.49 -4.49 -24 -8.49 -4.49 -33.5 -10.25 0 -21
5 24 -11.31 8 -33.5 -11.31 8 -24 -11.83 6 -24 -8.49 12.49 -33.5
5 24 -8.49 12.49 -33.5 -8.49 12.49 -24 -11.31 8 -24 -5.19 14.82 -33.5
5 24 -8.49 12.49 -24 -11.31 8 -24 -11.31 8 -33.5 -7.78 11.78 -21
5 24 -5.19 14.82 -24 -8.49 12.49 -24 -8.49 12.49 -33.5 -4.21 14.16 -21
5 24 4.59 -7.09 -24 8.49 -4.49 -24 8.49 -4.49 -33.5 4.21 -6.16 -21
5 24 8.49 -4.49 -24 8.49 -4.49 -33.5 4.59 -7.09 -33.5 11.31 0 -24
5 24 8.49 -4.49 -24 11.31 0 -24 11.31 0 -33.5 7.78 -3.78 -21
5 24 11.31 0 -24 11.31 0 -33.5 8.49 -4.49 -33.5 11.83 2 -24
5 24 11.31 8 -24 11.31 8 -33.5 11.83 6 -33.5 8.49 12.49 -24
5 24 11.31 8 -24 8.49 12.49 -24 8.49 12.49 -33.5 10.25 8 -21
5 24 8.49 12.49 -24 8.49 12.49 -33.5 11.31 8 -33.5 5.19 14.82 -24
5 24 8.49 12.49 -24 5.19 14.82 -24 5.19 14.82 -33.5 7.78 11.78 -21
5 24 -4.59 -7.09 -24 -4.21 -6.16 -21 -2 -6.82 -21 -8.49 -4.49 -24
5 24 -8.49 -4.49 -24 -7.78 -3.78 -21 -4.21 -6.16 -21 -11.31 0 -24
5 24 -8.49 12.49 -24 -7.78 11.78 -21 -10.25 8 -21 -5.19 14.82 -24
5 24 -5.19 14.82 -24 -4.21 14.16 -21 -7.78 11.78 -21 -2 14.82 -21
5 24 4.21 -6.16 -21 4.59 -7.09 -24 2 -7.83 -24 7.78 -3.78 -21
5 24 7.78 -3.78 -21 8.49 -4.49 -24 4.59 -7.09 -24 10.25 0 -21
5 24 7.78 11.78 -21 8.49 12.49 -24 11.31 8 -24 4.21 14.16 -21
5 24 4.21 14.16 -21 5.19 14.82 -24 8.49 12.49 -24 2 14.82 -21
0
2 24 -2 -6.82 -21 2 -6.82 -21
2 24 -4.21 -6.16 -21 -2 -6.82 -21
2 24 2 -6.82 -21 4.21 -6.16 -21
2 24 7.78 -3.78 -21 10.25 0 -21
2 24 4.21 -6.16 -21 7.78 -3.78 -21
2 24 -10.25 0 -21 -7.78 -3.78 -21
2 24 -7.78 -3.78 -21 -4.21 -6.16 -21
2 24 -4.21 14.16 -21 -7.78 11.78 -21
2 24 -2 14.82 -21 -4.21 14.16 -21
2 24 10.25 8 -21 7.78 11.78 -21
2 24 7.78 11.78 -21 4.21 14.16 -21
2 24 4.21 14.16 -21 2 14.82 -21
